Super Mario 64,sm64,2955
sm64,sm64,2955
Super Mario Odyssey,smo,2951
smo,smo,2951
The Legend of Zelda: A Link to the Past,alttp,1544
alttp,alttp,1544
Portal,portal,1437
portal,portal,1437
Celeste,celeste,1336
celeste,celeste,1336
Super Mario Bros.,smb1,1300
smb1,smb1,1300
Mario Kart 8 Deluxe,mk8dx,1277
mk8dx,mk8dx,1277
Super Mario World,smw,1270
smw,smw,1270
Resident Evil 2 (2019),re2remake,1117
re2remake,re2remake,1117
Refunct,refunct,1088
refunct,refunct,1088
Getting Over It With Bennett Foddy,goiwbf,1075
goiwbf,goiwbf,1075
Super Mario Sunshine,sms,1023
sms,sms,1023
The Legend of Zelda: Ocarina of Time,oot,962
oot,oot,962
Undertale,undertale,820
undertale,undertale,820
Mario Kart Wii,mkw,772
mkw,mkw,772
Super Metroid,supermetroid,768
supermetroid,supermetroid,768
ROBLOX: Speed Run 4,robloxsr4,738
robloxsr4,robloxsr4,738
New Super Mario Bros. Wii,nsmbw,734
nsmbw,nsmbw,734
Resident Evil 7: Biohazard,re7,724
re7,re7,724
Counter-Strike: Global Offensive,csgo,711
csgo,csgo,711
Pokémon Red/Blue,pkmnredblue,640
pkmnredblue,pkmnredblue,640
Outlast,outlast,630
outlast,outlast,630
Overwatch,overwatch,599
overwatch,overwatch,599
Super Mario Bros. 3,smb3,596
smb3,smb3,596
Portal 2,portal_2,576
portal2,portal_2,576
portal_2,portal_2,576
Luigi's Mansion,lm,568
lm,lm,568
Sonic Adventure 2: Battle,sa2b,552
sa2b,sa2b,552
Super Meat Boy,smb,551
smb,smb,551
SpongeBob SquarePants: Battle for Bikini Bottom,bfbb,546
bfbb,bfbb,546
Cuphead,cuphead,537
cuphead,cuphead,537
Mario Kart 8,mk8,531
mk8,mk8,531
Minecraft: Java Edition Category Extensions,mcce,526
mcce,mcce,526
A Hat in Time (Beta Build),ahitbb,513
ahitbb,ahitbb,513
Mario Kart: Double Dash!!,mkdd,480
mkdd,mkdd,480
Resident Evil 4 (Console),re4console,478
re4console,re4console,478
A Hat in Time,ahit,475
ahit,ahit,475
Super Mario Galaxy,smg1,468
smg1,smg1,468
Minecraft: Java Edition,mc,452
mc,mc,452
League of Legends,lol,439
lol,lol,439
Resident Evil 2,re2,433
re2,re2,433
Deltarune,deltarune,431
deltarune,deltarune,431
Super Mario 64 Category Extensions,sm64memes,418
sm64memes,sm64memes,418
Kirby's Dream Land,kdl,418
kdl,kdl,418
Grand Theft Auto V,gtav,416
gtav,gtav,416
Super Mario Odyssey Category Extensions,smoce,413
smoce,smoce,413
Tom Clancy's Rainbow Six Siege,r6_siege,401
r6siege,r6_siege,401
r6_siege,r6_siege,401
There Is No Game,ting,396
ting,ting,396
Grand Theft Auto Category Extensions,gtamemes,386
gtamemes,gtamemes,386
Sonic Adventure (DX),sadx,377
sadx,sadx,377
Katana ZERO,katana_zero,375
katanazero,katana_zero,375
katana_zero,katana_zero,375
Super Mario Bros. Category Extensions,smbce,363
smbce,smbce,363
Mega Man X,mmx,362
mmx,mmx,362
Mario Kart 64,mk64,361
mk64,mk64,361
Resident Evil (Remake),remake_hd,348
remakehd,remake_hd,348
remake_hd,remake_hd,348
Call of Duty: Black Ops III Zombies,bo3zombies,345
bo3zombies,bo3zombies,345
The Legend of Zelda: Breath of the Wild,botw,342
botw,botw,342
Seterra,seterra,330
seterra,seterra,330
VVVVVV,vvvvvv,329
vvvvvv,vvvvvv,329
Shovel Knight,shovelknight,326
shovelknight,shovelknight,326
Destiny 2,destiny2,324
destiny2,destiny2,324
Half-Life,hl1,321
hl1,hl1,321
Super Smash Bros. Melee,ssbm,319
ssbm,ssbm,319
Crash Team Racing,ctr,318
ctr,ctr,318
The Legend of Zelda: Majora's Mask,mm,317
mm,mm,317
Dragster,dragster,315
dragster,dragster,315
Mario Kart 7,mk7,314
mk7,mk7,314
Grand Theft Auto: Vice City,gtavc,310
gtavc,gtavc,310
Mirror's Edge,me,306
me,me,306
The Legend of Zelda,the_legend_of_zelda,305
thelegendofzelda,the_legend_of_zelda,305
the_legend_of_zelda,the_legend_of_zelda,305
Resident Evil 3: Nemesis,re3,304
re3,re3,304
Hotline Miami,hotline_miami,303
hotlinemiami,hotline_miami,303
hotline_miami,hotline_miami,303
Hollow Knight,hollowknight,296
hollowknight,hollowknight,296
New Super Mario Bros.,nsmbds,296
nsmbds,nsmbds,296
Super Mario Galaxy 2,smg2,294
smg2,smg2,294
New Super Mario Bros. 2,nsmb2,294
nsmb2,nsmb2,294
Club Penguin (Original),cpo,293
cpo,cpo,293
Crash Bandicoot: N. Sane Trilogy,crashnst,291
crashnst,crashnst,291
Banjo-Kazooie,bk,288
bk,bk,288
Super Mario World Extra Categories,smwext,287
smwext,smwext,287
The Messenger,the_messenger,285
themessenger,the_messenger,285
the_messenger,the_messenger,285
Chip 'N Dale: Rescue Rangers,chipndale,284
chipndale,chipndale,284
Warframe,wf,282
wf,wf,282
Ocarina of Time Category Extensions,ootextras,281
ootextras,ootextras,281
Piano Tiles,pt,278
pt,pt,278
Crossy Road,crossy_road,278
crossyroad,crossy_road,278
crossy_road,crossy_road,278
Super Smash Bros. for Wii U,ssbwiiu,277
ssbwiiu,ssbwiiu,277
Super Mario Maker,smm,276
smm,smm,276
Mario Kart DS,mkds,274
mkds,mkds,274
Metroid: Zero Mission,mzm,268
mzm,mzm,268
Kingdom Hearts Final Mix,khfm,265
khfm,khfm,265
Titanfall 2,titanfall_2,259
titanfall2,titanfall_2,259
titanfall_2,titanfall_2,259
Tetris (NES),tetrisnes,259
tetrisnes,tetrisnes,259
Spyro the Dragon,spyro1,255
spyro1,spyro1,255
Crash Bandicoot 3: Warped,crash3,253
crash3,crash3,253
Grand Theft Auto: San Andreas,gtasa,251
gtasa,gtasa,251
Resident Evil 5,re5,251
re5,re5,251
Super Monkey Ball 2,supermonkeyball2,250
supermonkeyball2,supermonkeyball2,250
Strider (NES),stridernes,250
stridernes,stridernes,250
Spyro 2: Ripto's Rage!,spyro2,249
spyro2,spyro2,249
Metroid Fusion,fusion,246
fusion,fusion,246
Diablo II: Lord of Destruction,d2lod,239
d2lod,d2lod,239
The Simpsons: Hit and Run,shar,238
shar,shar,238
Geometry Dash,gmd,236
gmd,gmd,236
Human: Fall Flat,human_fall_flat,235
humanfallflat,human_fall_flat,235
human_fall_flat,human_fall_flat,235
Crash Bandicoot 2: Cortex Strikes Back,crash2,232
crash2,crash2,232
Super Mario Sunshine Category Extensions,smsce,232
smsce,smsce,232
Dark Souls,darksouls,231
darksouls,darksouls,231
DuckTales (NES),dt,231
dt,dt,231
Paper Mario,pm64,230
pm64,pm64,230
Kirby Super Star Ultra,kssu,230
kssu,kssu,230
Dishonored,dishonored,227
dishonored,dishonored,227
Castlevania (NES),cv1,227
cv1,cv1,227
Pringles,pringles,220
pringles,pringles,220
Antichamber,antichamber,219
antichamber,antichamber,219
EarthBound,earthbound,218
earthbound,earthbound,218
Enter the Gungeon,enter_the_gungeon,218
enterthegungeon,enter_the_gungeon,218
enter_the_gungeon,enter_the_gungeon,218
Super Smash Bros. Brawl,ssbb,217
ssbb,ssbb,217
Super Smash Bros. for 3DS,super_smash_bros._for_3ds,217
supersmashbros.for3ds,super_smash_bros._for_3ds,217
super_smash_bros._for_3ds,super_smash_bros._for_3ds,217
Wii Sports Resort,wsr,216
wsr,wsr,216
Sekiro: Shadows Die Twice,sekiro,216
sekiro,sekiro,216
Resident Evil,re1,215
re1,re1,215
Barney's Hide and Seek Game,barneys_hide_and_seek_game,213
barneyshideandseekgame,barneys_hide_and_seek_game,213
barneys_hide_and_seek_game,barneys_hide_and_seek_game,213
Ori and the Blind Forest Definitive Edition,ori_de,211
oride,ori_de,211
ori_de,ori_de,211
CELESTE Classic,celestep8,211
celestep8,celestep8,211
The Legend of Zelda: Link's Awakening DX,ladx,208
ladx,ladx,208
Resident Evil 4 (Steam),re4steam,208
re4steam,re4steam,208
Sesame Street Fighter,sesame_street_fighter,208
sesamestreetfighter,sesame_street_fighter,208
sesame_street_fighter,sesame_street_fighter,208
Kingdom Hearts II Final Mix,kh2fm,205
kh2fm,kh2fm,205
Super Mario Bros. 2,smb2,202
smb2,smb2,202
Contra,contra,202
contra,contra,202
Call of Duty: Black Ops II Zombies,bo2zombies,201
bo2zombies,bo2zombies,201
Donkey Kong,donkey_kong,201
donkeykong,donkey_kong,201
donkey_kong,donkey_kong,201
Super Mario World 2: Yoshi's Island,yi,196
yi,yi,196
Final Fantasy X,ffx,195
ffx,ffx,195
Goime 500,twow,194
twow,twow,194
Mario Party,marioparty1,194
marioparty1,marioparty1,194
Risk of Rain,ror,193
ror,ror,193
Grand Theft Auto III,gtaiii,191
gtaiii,gtaiii,191
Rocket League,rl,191
rl,rl,191
Donkey Kong Country 2: Diddy's Kong Quest,dkc2,189
dkc2,dkc2,189
Titan Souls,titan_souls,187
titansouls,titan_souls,187
titan_souls,titan_souls,187
Donkey Kong Country,dkc,186
dkc,dkc,186
Donkey Kong 64,dk64,185
dk64,dk64,185
Kirby: Star Allies,ksa,185
ksa,ksa,185
Call of Duty: Modern Warfare 2,mw2,184
mw2,mw2,184
You Have to Burn the Rope,yhtbtr,181
yhtbtr,yhtbtr,181
Stardew Valley,stardew_valley,180
stardewvalley,stardew_valley,180
stardew_valley,stardew_valley,180
Call of Duty: Black Ops Zombies,bozombies,180
bozombies,bozombies,180
The Legend of Zelda: The Wind Waker,tww,178
tww,tww,178
Super Monkey Ball,supermonkeyball,176
supermonkeyball,supermonkeyball,176
Robot 64,robot64,176
robot64,robot64,176
Clustertruck,clustertruck,174
clustertruck,clustertruck,174
Diablo III: Reaper of Souls,d3_ros,174
d3ros,d3_ros,174
d3_ros,d3_ros,174
Hypixel BedWars,hypixel_bw,174
hypixelbw,hypixel_bw,174
hypixel_bw,hypixel_bw,174
SpongeBob SquarePants: Battle for Bikini Bottom Category Extensions,bfbbce,173
bfbbce,bfbbce,173
Monster Hunter: World (Console),mhw,173
mhw,mhw,173
Crash Bandicoot,crash1,172
crash1,crash1,172
Final Fantasy IV,ff4,172
ff4,ff4,172
Super Mario Maker 2,smm2,171
smm2,smm2,171
Borderlands 2,bl2,170
bl2,bl2,170
Five Nights at Freddy's,fnaf1,167
fnaf1,fnaf1,167
White Tiles 4: Piano Master 2,whitetiles4,166
whitetiles4,whitetiles4,166
The Legend of Zelda: The Wind Waker HD,twwhd,166
twwhd,twwhd,166
Terraria,terraria,166
terraria,terraria,166
Pokémon Snap,pkmnsnap,164
pkmnsnap,pkmnsnap,164
ROBLOX: Climb 2000 Stairs to VIP,roblox_climb_2000_stairs_to_vip,164
robloxclimb2000stairstovip,roblox_climb_2000_stairs_to_vip,164
roblox_climb_2000_stairs_to_vip,roblox_climb_2000_stairs_to_vip,164
Call of Duty 4: Modern Warfare,cod4,164
cod4,cod4,164
Minesweeper,minesweeper,163
minesweeper,minesweeper,163
NieR: Automata,na,162
na,na,162
Kirby: Nightmare in Dream Land,knidl,162
knidl,knidl,162
Splatoon,splatoon1,162
splatoon1,splatoon1,162
Momodora: Reverie Under the Moonlight,momo4,162
momo4,momo4,162
Star Fox 64,sf64,162
sf64,sf64,162
World of Warcraft,wow,162
wow,wow,162
The Binding of Isaac: Afterbirthand,afterbirthplus,160
The Binding of Isaac: Afterbirthplus,afterbirthplus,160
afterbirthplus,afterbirthplus,160
Dark Souls III,darksouls3,160
darksouls3,darksouls3,160
Splatoon 2,splatoon2,160
splatoon2,splatoon2,160
Untitled Goose Game,goose,158
goose,goose,158
Paper.io,paper.io,158
paper.io,paper.io,158
Pokémon Yellow,pkmnyellow,158
pkmnyellow,pkmnyellow,158
