f,f
b,b
r,r
bk,bk
cs,csgo
dt,dt
lm,lm
mc,mc
me,me
mm,mm
pt,pt
rl,rl
wf,wf
yi,yi
tp,tp
na,na
bt,bt
mp,mp
ai,ai
yl,yl
ac,ac
ka,ka
ap,ap
lb,lb
fp,fp
cp,cp
cm,cm
cc,cc
r3,r3
pp,pp
s2,s2
ct,ct
s1,s1
mg,mg
la,la
ge,ge
dh,dh
bh,bh
sf,sf
dx,dx
ib,ib
m2,m2
pe,pe
ki,ki
hw,hw
fc,fc
vc,vc
r2,r2
st,st
sg,sg
ww,ww
gr,gr
ht,ht
jd,jd
gk,gk
fw,fw
kd,kd
fe,fe
sr,sr
tr,tr
gd,gd
zd,zd
wd,wd
ah,ah
qc,qc
p5,p5
tb,tb
rr,rr
pq,pq
bm,bm
pg,pg
cr,cr
br,br
v8,v8
wa,wa
pm,pm
n3,n3
lr,lr
if,if
po,po
kf,kf
sw,sw
aw,aw
ss,ss
eg,e_g
pr,pr
bw,bw
ck,ck
az,az
ts,ts
gt,gt
ia,ia
bj,bj
uc,uc
ga,ga
mn,mn
bp,bp
pk,pk
pa,pa
w2,w2
cw,cw
rg,rg
rf,rf
p4,p4
li,li
bl,bl
rv,rv
et,et
tg,tg
sp,sp
vs,vs
ma,ma
fy,fy
mx,mx
op,op
bb,bb
uu,uu
de,de
qt,qt
iq,iq
hr,hr
pd,pd
up,up
tv,tv
pc,pc
ua,ua
dq,dq
gc,gc
cf,cf
ld,ld
hg,hg
cd,cd
mq,mq
bd,bd
ae1,ae1
bo2,blops2
bo3,call_of_duty_black_ops_iii
cpo,cpo
ctr,ctr
cv1,cv1
dkc,dkc
ff4,ff4
ffx,ffx
gmd,gmd
hl1,hl1
hm2,hm2
kdl,kdl
ksa,ksa
lol,lol
mgs,mgs1
mhw,mhw
mk7,mk7
mk8,mk8
mkw,mkw
mmx,mmx
mw1,cod4
mw2,mw2
mzm,mzm
oot,oot
osu,osu
re1,re1
re2,re2
re3,re3
re5,re5
re7,re7
ror,ror
smb,smb
